stage,status,cache_key,started,finished,duration_s,note
M01_target_ingestion,ok,"f3629d88323f4bda",2026-08-16T05:39:03+00:00,2026-08-16T05:39:04+00:00,0.69,""
M02_cleaved_states,ok,"4e4b6d56a5e1387e",2026-08-16T05:39:04+00:00,2026-08-16T05:39:04+00:00,0.467,""
M03_epitope,ok,"47af742903964549",2026-08-16T05:39:04+00:00,2026-08-16T05:39:12+00:00,8.305,""
M04_generate,ok,"d48265b284e3919b",2026-08-16T05:39:12+00:00,2026-08-16T05:39:29+00:00,16.346,""
M05_sequence_design,ok,"94e8801dca6ca86d",2026-08-16T05:39:29+00:00,2026-08-16T05:39:29+00:00,0.186,""
M06_positive_state,ok,"b88873030cb4d2cd",2026-08-16T05:39:29+00:00,2026-08-16T05:42:50+00:00,201.343,""
M07_negative_state,ok,"ab496b41bc499e63",2026-08-16T05:42:50+00:00,2026-08-16T05:45:01+00:00,131.083,""
M08_mechanism,ok,"296b81e2fcd2a1e1",2026-08-16T05:45:01+00:00,2026-08-16T05:45:02+00:00,0.321,""
M09_developability,ok,"25729b0a3cc73d05",2026-08-16T05:45:02+00:00,2026-08-16T05:45:02+00:00,0.055,""
M10_ranking,ok,"c9be6b6b4aa91733",2026-08-16T05:45:02+00:00,2026-08-16T05:45:02+00:00,0.422,""
